일시,구분,미세먼지(PM10),초미세먼지(PM25)
2021-05-31 23:00,평균,43,23
2021-05-31 23:00,강남구,42,24
2021-05-31 23:00,강동구,47,30
2021-05-31 23:00,강북구,48,27
2021-05-31 23:00,강서구,49,28
2021-05-31 23:00,관악구,40,23
2021-05-31 23:00,광진구,47,24
2021-05-31 23:00,구로구,45,22
2021-05-31 23:00,금천구,37,22
2021-05-31 23:00,노원구,39,24
2021-05-31 23:00,도봉구,39,20
2021-05-31 23:00,동대문구,45,24
2021-05-31 23:00,동작구,44,24
2021-05-31 23:00,마포구,35,22
2021-05-31 23:00,서대문구,34,17
2021-05-31 23:00,서초구,44,17
2021-05-31 23:00,성동구,44,25
2021-05-31 23:00,성북구,46,26
2021-05-31 23:00,송파구,45,27
2021-05-31 23:00,양천구,42,21
2021-05-31 23:00,영등포구,39,24
2021-05-31 23:00,용산구,38,17
2021-05-31 23:00,은평구,43,27
2021-05-31 23:00,종로구,48,23
2021-05-31 23:00,중구,45,25
2021-05-31 23:00,중랑구,46,24
2021-05-31 22:00,평균,43,23
